date,startup,vertical,city,investors,round,amount,year,month
2019-08-13,Cars24,E-Commerce,Gurgaon,MS Dhoni,Series D,11000000.0,2019,8
2019-08-13,Uniphore,Customer service platform,International,March Capital Partners,Series C,51000000.0,2019,8
2019-08-23,Zendrive,Automotive,International,XL Innovate,Series B,37000000.0,2019,8
2019-08-23,Lo! Foods,Consumer goods,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500000.0,2019,8
2019-08-23,Tala,FinTech,International,RPS Ventures,Series D,110000000.0,2019,8
2019-08-22,INDwealth,FinTech,Gurgaon,Tiger Global Management,Venture Round,15000000.0,2019,8
2019-08-21,HungerBox,Food & Beverage,Bangalore,One97 Communications Ltd.,Series C,6590000.0,2019,8
2019-08-23,AdmitKard,EdTech,Noida,Growth DNA,Seed Round,1000000.0,2019,8
2019-08-19,Mishry Reviews,Services,Gurgaon,Vir Sanghvi,Series A,,2019,8
2019-08-19,Grofers,E-Commerce,Gurgaon,Softbank Vision Fund,Series F,70000000.0,2019,8
2019-08-27,Rapido Bike Taxi,Logistics,Bangalore,Westbridge Capital,Series B,3900000000.0,2019,8
2019-07-02,RenewBuy,FinTech,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000.0,2019,7
2019-07-02,Atlan,Technology,International,WaterBridge Ventures,Pre-Series A,2500000.0,2019,7
2019-07-01,WizCounsel,Compliance,Delhi,Kapil Dev,Angel,145000.0,2019,7
2019-07-03,Ola Cabs,Logistics,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000.0,2019,7
2019-07-01,Uniphore,Artificial intelligence,Taramani,March Capital Partners,Series C,38080000.0,2019,7
2019-07-04,Daalchini Technologies,Food & Beverage,Delhi,Artha Venture,Seed Round,500000.0,2019,7
2019-07-10,BYJU\\'S,EdTech,Bangalore,Qatar Investment Authority,Private Equity Round,150000000.0,2019,7
2019-07-11,Moglix,E-Commerce,International,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0,2019,7
2019-07-10,Ezyhaul,Technology,International,Undisclosed,Series B,16000000.0,2019,7
2019-07-10,Indus OS,Technology,Andheri,Ventureast,Series B,5750000.0,2019,7
2019-07-10,HealthAssure,Healthcare,Mumbai,Blume Ventures,Series A,2500000.0,2019,7
2019-07-09,House of Msasaba,Luxury label,Mumbai,Binny Bansal,Series A,1000000.0,2019,7
2019-07-08,Board Infinity,EdTech,Chembur,Multiple Angel Investors,Angel Round,319605.0,2019,7
2019-06-05,NoBroker,E-Commerce,Bangalore,General Atlantic,Series C,51000000.0,2019,6
2019-06-04,Bira91,Food & Beverage,Delhi,Anicut Capital,Debt Funding,10000000.0,2019,6
2019-06-03,FabHotels,E-Commerce,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,4889975.54,2019,6
2019-06-03,Avail Finance,FinTech,Bangalore,Matrix Partners,Series A,9000000.0,2019,6
2019-06-04,BharatPe,FinTech,Delhi,Insight Partners,Series B,75000000.0,2019,6
2019-06-04,Recykal,Waste management service,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000.0,2019,6
2019-06-03,Agara Labs,Technology,Bangalore,Blume Ventures and RTP Global,pre-Series A,2500000.0,2019,6
2019-06-06,Sistema.bio,Agriculture,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,2739034.68,2019,6
2019-06-06,Chakr Innovation,Energy,Delhi,IAN Fund,Series A,26000000.0,2019,6
2019-06-06,Pratilipi,Digital media,Bangalore,Qiming Venture Partners,Series B,15109500.0,2019,6
2019-06-10,Bolo App,Digital media,Bangalore,Nexus Venture Partners,Seed Funding,430200.0,2019,6
2019-06-10,OkCredit,FinTech,Haryana,Tiger Global Management,Series A,15500000.0,2019,6
2019-06-06,Biz2Credit,FinTech,International,WestBridge Capital,Series B,52000000.0,2019,6
2019-06-08,Vogo Automotive Pvt. Ltd.,Logistics,Karnataka,Alteria Capital,Debt Funding,3584000.0,2019,6
2019-06-04,Leegality,Services,Mumbai,Mumbai Angels,Series A,3400000.0,2019,6
2019-05-06,Ola Electric,Logistics,Bangalore,Tata Sons,Series A,,2019,5
2019-05-06,Saahas Zero Waste,Waste management service,Bangalore,C4D Partners,Venture - Series Unknown,868600.0,2019,5
2019-05-05,StyleDotMe,E-Commerce,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,,2019,5
2019-05-01,BlackBuck,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000.0,2019,5
2019-05-02,Zenoti,Saas,Hyderabad,Tiger Global Management,Series C,50000000.0,2019,5
2019-05-28,Ather Energy,Automobile,Bangalore,Sachin Bansal,Series C,51000000.0,2019,5
2019-05-28,FreshVnF,Technology,Mumbai,Equanimity Ventures,Seed Round,140000000.0,2019,5
2019-05-30,GlowRoad,E-Commerce,Bangalore,"Korea Investment Partners, Vertex Ventures",Series B,11500000.0,2019,5
2019-05-31,Bira91,Food & Beverage,Delhi,Sixth Sense Ventures,Series B,5600000.0,2019,5
2019-04-16,Kuvera,FinTech,Bangalore,Eight Roads,Series A,45000000.0,2019,4
2019-04-12,Medlife,E-Commerce,Bangalore,Prasid Uno Family Trust,Private Equity,17000000.0,2019,4
2019-04-10,Kabadiwala,E-Commerce,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665.0,2019,4
2019-04-13,Tripoto,Social media,Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375.0,2019,4
2019-04-12,Azah,Healthcare,Gurgaon,Unnamed angel investors,Seed Funding,200000.0,2019,4
2019-04-11,Setu,FinTech,Bangalore,Lightspeed India Partners,Seed Funding,3500000.0,2019,4
2019-04-10,Toppr,EdTech,Mumbai,Milestone,Debt and Preference capital,6320820.0,2019,4
2019-04-10,Craftsvilla,E-Commerce,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495.0,2019,4
2019-04-10,Unacademy,EdTech,Bangalore,Kalyan Krishnamurthy,Seed/ Angel Funding,307000.0,2019,4
2019-04-11,CleverTap,Saas,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000.0,2019,4
2019-04-19,My Healthcare,E-Commerce,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,3000000.0,2019,4
2019-04-19,KrazyBee,E-Commerce,Bangalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,14342000.0,2019,4
2019-04-17,Shuttl,Logistics,Gurgaon,New Atlantic Ventures,Venture Round,5000000.0,2019,4
2019-04-17,Increff,Technology,Bangalore,"021 Capita, Binny Bansal",Series A,3000000.0,2019,4
2019-02-01,FleetX,Ai,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,,2019,2
2019-02-08,Zilingo,E-Commerce,India,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000.0,2019,2
2019-02-13,NanoClean Global,Technology,Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000.0,2019,2
2018-02-14,OyoRooms,Hospitality,Gurgaon,DiDi Chuxing,Equity,100000000.0,2018,2
2019-01-03,CarDekho,Automobile,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000.0,2019,1
2019-01-04,Vyome Therapeutics Inc.,Healthcare,India,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000.0,2019,1
2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,FinTech,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,5000000.0,2019,1
2018-12-04,Manch,Social media,Delhi,Stellaris Venture Partners,Seed Funding,700000.0,2018,12
2018-12-01,UrbanClap Technologies Pvt. Ltd,Services platform,Delhi,Steadview Capital and Vy Capital.,Series D,50000000.0,2018,12
2018-12-02,Guiddoo,Technology,Mumbai,Individual Investors,Pre-Series A,800000.0,2018,12
2018-12-02,Career Anna,EdTech,Gurgaon,Individual Investors,Pre-Series A,572000.0,2018,12
2018-12-04,Nagpur Wholesale,Online marketplace,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000.0,2018,12
2018-12-06,ShopKirana,B2b,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000.0,2018,12
2018-12-06,BuildSupply,E-Commerce,Gurgaon,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000.0,2018,12
2018-11-01,GoDesi,Food & Beverage,Bangalore,Lead Angels Network,Seed/ Angel Funding,138995.0,2018,11
2018-11-03,Veritas Finance Ltd.,Nbfc,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000.0,2018,11
2018-11-06,Meesho,E-Commerce,Bangalore,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000.0,2018,11
2018-11-08,Mobile Premier League,Gaming,Bangalore,Undisclosed,Series A,500000.0,2018,11
2018-11-08,A&R Bon Vivants,Food & Beverage,Jaipur,"RB Investments, Singapore",Equity,1000000.0,2018,11
2018-11-12,Blackbuck,Food & Beverage,"New York, Bengaluru",Tiger Global,Series A,1000000.0,2018,11
2018-11-12,MilkBAsket,Food & Beverage,Delhi,Mayfield Fund,Series B,1300000.0,2018,11
2018-11-13,DriveU,Logistics,Bangalore,Stevens Creek Ventures,Mezzanine,1000000.0,2018,11
2018-11-14,CleanseCar,Services,Bangalore,Venture Catalysts,Seed/ Angel Funding,500000.0,2018,11
2018-11-19,Automation Anywhere,Automation,International,SoftBank Vision Fund,Series B,300000000.0,2018,11
2018-11-20,HealthifyMe,Healthcare,Bangalore,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6000000.0,2018,11
2018-11-21,Genius Corner,EdTech,Noida,Individual investors,Seed Funding,278000.0,2018,11
2018-11-22,Aavishkaar-Intellecap Group,Investment,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000.0,2018,11
2018-11-22,Skillbox,Social network,Gurgaon,Individual investors,Seed Funding,,2018,11
2018-11-23,Signzy,Technology,Mumbai,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000.0,2018,11
2018-11-24,Engineer.ai,Software,India,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000.0,2018,11
2018-11-25,InCred Finance,FinTech,India,"Paragon Partners, Individual Investors",Private Equity,42000000.0,2018,11
2018-11-25,Roposo,Social media,Delhi,Bertelsmann India Investments,Series B,1700000.0,2018,11
2018-10-01,Northmist,Fashion,Delhi,Prashant Jaiswal,Seed/ Angel Funding,,2018,10
2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,11000000.0,2018,10
2018-10-04,Grover Zampa,Food & Beverage,Mumbai,Ravi Viswanathan,Private Equity,8200000.0,2018,10
2018-10-05,Droom,Automobile,Gurgaon,ZigExN,Series E,3000000.0,2018,10
2018-10-11,Innov8,Real estate,Delhi,Credence Family Office,Pre-Series A,4000000.0,2018,10
2018-10-12,Blackbuck,Logistics,Bangalore,Sequoia Capital India,Private Funding,14680000.0,2018,10
2018-10-12,LetsTransport,Logistics,Bangalore,Fosun International,Series C,12000000.0,2018,10
2018-09-01,Netmeds,Consumer internet,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000.0,2018,9
2018-09-03,Udaan,B2b platform,Bangalore,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000.0,2018,9
2018-09-03,Daily hunt,Consumer internet,Bangalore,Falcon Edge,Private Equity,6390000.0,2018,9
2018-09-04,3HCare,Healthcare,Delhi,,Seed / Angel Funding,1000000.0,2018,9
2018-09-04,HappyGoEasy,Consumer internet,Gurgaon,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,,2018,9
2018-09-05,Nykaa,Consumer internet,Mumbai,Lighthouse,Private Equity,157200000.0,2018,9
2018-09-05,Mad Street Den,Technology,Chennai,KDDI\\xc2\\xa0,Private Equity,,2018,9
2018-09-06,Dream11,Consumer internet,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000.0,2018,9
2018-09-10,MamaEarth,Healthcare,Gurgaon,Stellaris Ventures & Others,Private Equity,4000000.0,2018,9
2018-09-11,AutoGrid,Technology,Bangalore,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000000.0,2018,9
2018-09-11,Pharmeasy,Consumer internet,Mumbai,InnoVen Capital,Debt Funding,5500000.0,2018,9
2018-09-11,Upwards,Technology,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000.0,2018,9
2018-09-12,Kissht,Technology,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000.0,2018,9
2018-08-01,dishq,Food & Beverage,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,400000.0,2018,8
2018-08-01,HealthFin,FinTech,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,,2018,8
2018-08-02,Samosa Labs,Consumer internet,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000.0,2018,8
2018-08-03,ZiffyHomes,Consumer internet,Gurgaon,Y Combinator,Private Equity,120000.0,2018,8
2018-08-07,My OmNamo,Consumer internet,Mumbai,,Seed/ Angel Funding,1000000.0,2018,8
2018-08-07,ShopX,Consumer internet,Bangalore,Fung Strategic Holdings,Private Equity,35000000.0,2018,8
2018-08-07,MakeMyTrip,Consumer internet,Gurgaon,MakeMyTrip Limited,Private Equity,10000000.0,2018,8
2018-08-08,Hansel io,Consumer internet,Bangalore,Vertex Ventures,Seed/ Angel Funding,4000000.0,2018,8
2018-08-08,Metro Bikes,Consumer internet,Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000.0,2018,8
2018-08-08,Phone Pe,Consumer internet,Bangalore,Flipkart,Private Equity,66000000.0,2018,8
2018-08-09,quizizz,Technology,Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,3000000.0,2018,8
2018-08-09,Happy EMI,Technology,Bangalore,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,1000000.0,2018,8
2018-08-13,Inthree,Consumer internet,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,4000000.0,2018,8
2018-08-13,Observe AI,Technology,Bangalore,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000.0,2018,8
2018-08-16,Enakshi,Consumer internet,Ahemadabad,,Seed/ Angel Funding,114811.0,2018,8
2018-08-17,EazyDiner,Consumer internet,Gurgaon,Denlow Investment Trust and Beenext,Private Equity,5850000.0,2018,8
2018-08-20,Finzy,FinTech,Bangalore,,Seed / Angel Funding,1000000.0,2018,8
2018-08-20,RawPressery,Consumer internet,Mumbai,Alteria Capital,Debt Funding,4800000.0,2018,8
2018-08-22,Pi Ventures,Technology,Bangalore,CDC Group plc\\xc2\\xa0,Private Equity,6000000.0,2018,8
2018-08-22,Revv,Consumer internet,Gurgaon,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270000.0,2018,8
2018-08-26,ZestMoney,Consumer internet,Bangalore,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13400000.0,2018,8
2018-08-26,Shubh Loans,Technology,Bangalore,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000.0,2018,8
2018-08-27,MyUpchar,Healthcare,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5000000.0,2018,8
2018-08-28,Narvar,It,Bangalore,Accel (formerly known as Accel Partners),Private Equity,3000000.0,2018,8
2018-08-30,True North,FinTech,Mumbai,,Private Equity,600000000.0,2018,8
2018-07-01,Leena AI,Technology,Gurgaon,Y Combinator,Seed/ Angel Funding,,2018,7
2018-07-02,Biryani By Kilo,Consumer internet,Gurgaon,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,1000000.0,2018,7
2018-07-04,Anchanto,It,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4000000.0,2018,7
2018-07-05,Loan Tap,Consumer internet,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,6250000.0,2018,7
2018-07-06,PolicyBazaar,Consumer internet,Gurgaon,Info Edge (India) Ltd and Temasek,Private Equity,27700000.0,2018,7
2018-07-09,zippserv,Consumer internet,Bangalore,Info Edge (India) Ltd,Seed/ Angel Funding,440000.0,2018,7
2018-07-09,Groww,Consumer internet,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,1100000.0,2018,7
2018-07-10,Avenue Growth,Consumer internet,Gurgaon,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,437000.0,2018,7
2018-07-10,iNICU,Healthcare,Delhi,Venture Catalysts,Seed/ Angel Funding,,2018,7
2018-07-10,Kinara Capital,FinTech,Bangalore,ResponsAbility,Private Equity,5000000.0,2018,7
2018-07-10,Shop 101,Consumer internet,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,5000000.0,2018,7
2018-07-11,Sambandh,Consumer internet,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,2500000.0,2018,7
2018-07-12,19th mile,It,Gurgaon,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed/ Angel Funding,180000.0,2018,7
2018-07-12,5th Vital,Healthcare,Bangalore,Brand Capital and Others,Seed/ Angel Funding,500000.0,2018,7
2018-07-13,MEngage,Healthcare,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed/ Angel Funding,175000.0,2018,7
2018-07-17,Ofbusiness,FinTech,Gurgaon,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,29000000.0,2018,7
2018-07-17,Cars24,Consumer internet,Gurgaon,"Kingsway FCI Fund, KCK Global & Others",Private Equity,49700000.0,2018,7
2018-07-18,The Ken,Consumer internet,Bangalore,Omidyar Network & Others,Seed/ Angel Funding,1500000.0,2018,7
2018-07-19,Book My Show,Consumer internet,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity,100000000.0,2018,7
2018-07-20,HousingMan,Consumer internet,Bangalore,,Seed/ Angel Funding,1500000.0,2018,7
2018-07-21,PaySense,Consumer internet,Mumbai,PayU & Others,Private Equity,18000000.0,2018,7
2018-07-23,Yulu Bikes,Technology,Bangalore,,Seed/ Angel Funding,,2018,7
2018-07-23,VTION,Technology,Gurgaon,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed/ Angel Funding,280000.0,2018,7
2018-07-23,Log9 Materials,Technology,Bangalore,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed/ Angel Funding,436000.0,2018,7
2018-07-24,kidovators,Technology,Bangalore,Gray Matters,Seed/ Angel Funding,180000.0,2018,7
2018-07-24,Digit,Consumer internet,Pune,Fairfax,Private Equity,45000000.0,2018,7
2018-07-25,Black Soil,FinTech,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,17000000.0,2018,7
2018-07-25,Trell,Consumer internet,Bangalore,"BeeNext , WEH Ventures and Sprout Ventures",Seed/ Angel Funding,1250000.0,2018,7
2018-07-25,iqlect,Technology,Bangalore,Ventureast and Exfinity,Seed/ Angel Funding,2500000.0,2018,7
2018-07-26,Entropik,It,Bangalore,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed/ Angel Funding,1100000.0,2018,7
2018-07-26,Bitla Software,Technology,Bangalore,MakeMyTrip,Private Equity,,2018,7
2018-07-26,TheCapitalNet,Technology,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,500000.0,2018,7
2018-07-30,Shuttl,Consumer internet,Gurgaon,Amazon Alexa Fund & Dentsu Ventures,Private Equity,11000000.0,2018,7
2018-07-30,Cure Fit,Consumer internet,Bangalore,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,120000000.0,2018,7
2018-07-31,Five Star Group,Technology,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,100000000.0,2018,7
2018-07-31,Healthsignz,Healthcare,Hyderabad,Kantilal Patel,Seed/ Angel Funding,5000000.0,2018,7
2018-06-01,CoinTribe,FinTech,Gurgaon,"Sabre Partners, Puneet Dalmia & Others",Private Equity,10000000.0,2018,6
2018-06-04,Digiconectt,Technology,Bangalore,Aspire Logistics LLC,Seed/ Angel Funding,125000.0,2018,6
2018-06-04,Kashmir Box,E-Commerce,Srinagar,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",Seed/ Angel Funding,,2018,6
2018-06-05,Crowdera,FinTech,Nagpur,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.",Seed/ Angel Funding,,2018,6
